time,latitude,longitude,depth,mag,magType,place,type
2020-11-22T15:09:31.570Z,179.543,-668.375,13,2.82,md,"4 km SSW of Indios, Puerto Rico",earthquake
2020-11-22T15:02:11.810Z,179.276,-668.471,15,2.85,md,"7 km SE of Maria Antonia, Puerto Rico",earthquake
2020-11-22T14:20:55.664Z,-25.475,1.274.924,10,4.2,mb,"148 km NNW of Ambon, Indonesia",earthquake
2020-11-22T14:11:37.641Z,169.769,1.471.497,35,4.4,mb,"245 km NE of Saipan, Northern Mariana Islands",earthquake
2020-11-22T14:09:27.386Z,553.567,-1.585.832,35,3.9,mb,"71 km SSE of Perryville, Alaska",earthquake
2020-11-22T13:53:20.210Z,178.175,-668.565,10,2.71,md,"17 km SSE of Guánica, Puerto Rico",earthquake
2020-11-22T13:51:24.401Z,-68.603,1.295.948,102.78,4.4,mb,Banda Sea,earthquake
2020-11-22T11:49:14.838Z,425.805,-1.114.507,3.28,2.9,ml,"12 km NNW of Georgetown, Idaho",earthquake
2020-11-22T11:28:12.950Z,179.328,-668.471,16,3.9,ml,"6 km SE of Maria Antonia, Puerto Rico",earthquake
2020-11-22T11:27:26.769Z,-25.928,1.274.718,10.81,5.3,mww,"145 km NNW of Ambon, Indonesia",earthquake
2020-11-22T11:09:59.356Z,536.791,-159.479,2.76,4.5,mb,"195 km SSE of Sand Point, Alaska",earthquake
2020-11-22T11:04:14.952Z,425.827,-1.114.716,6.48,3.5,ml,"13 km SE of Soda Springs, Idaho",earthquake
2020-11-22T10:42:24.240Z,-277.477,-714.756,22.38,4.2,mwr,"115 km NW of Vallenar, Chile",earthquake
2020-11-22T10:20:31.760Z,195.221.666.666.667,-1.556.725,5.51,2.97,ml,"21 km ENE of Honaunau-Napoopoo, Hawaii",earthquake
2020-11-22T10:05:54.306Z,365.831,1.410.639,34.64,5.5,mww,"34 km ESE of Takahagi, Japan",earthquake
2020-11-22T09:37:03.329Z,645.286,-1.603.665,2,2.8,ml,"44 km ENE of Shaktoolik, Alaska",earthquake
2020-11-22T09:35:33.578Z,546.369,-1.598.335,15,3.5,ml,"88 km SSE of Sand Point, Alaska",earthquake
2020-11-22T09:06:09.770Z,19.644,-648.321,40,3.65,md,"144 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2020-11-22T08:52:58.678Z,554.726,1.618.339,92.35,4.5,mb,"93 km SSW of Ust’-Kamchatsk Staryy, Russia",earthquake
2020-11-22T08:26:41.352Z,-316.356,-682.145,107.26,4.2,mb,"6 km ENE of Caucete, Argentina",earthquake
2020-11-22T07:26:33.320Z,-346.001,-730.841,23.53,4.7,mb,"101 km NW of Constitución, Chile",earthquake
2020-11-22T06:49:56.650Z,-282.868,-1.793.611,394.01,4.5,mb,Kermadec Islands region,earthquake
2020-11-22T06:49:34.679Z,44.293,-1.149.933,6.93,2.5,ml,"9 km NNW of Stanley, Idaho",earthquake
2020-11-22T06:44:33.910Z,178.343,-66.226,6,2.77,md,Puerto Rico region,earthquake
2020-11-22T05:18:37.793Z,-167.909,1.744.453,10,5.5,mww,Fiji region,earthquake
2020-11-22T04:20:45.535Z,541.071,-1.596.873,10,3.6,ml,"146 km SSE of Sand Point, Alaska",earthquake
2020-11-22T04:13:57.915Z,272.263,53.54,10,4.4,mb,"74 km ESE of Mohr, Iran",earthquake
2020-11-22T03:55:53.669Z,-181.124,-1.781.481,560.32,4.6,mb,"268 km E of Levuka, Fiji",earthquake
2020-11-22T03:53:08.353Z,366.296,6.8673,10,5.2,mww,"24 km WSW of Azzaba, Algeria",earthquake
2020-11-22T03:31:54.065Z,-180.545,-1.782.155,572.06,4.4,mb,"261 km E of Levuka, Fiji",earthquake
2020-11-22T03:29:20.488Z,262.934,947.611,60.38,4.5,mb,"6 km WNW of Tuensang, India",earthquake
2020-11-22T02:33:49.748Z,-7.904,1.276.586,10,4.7,mb,"169 km S of Sofifi, Indonesia",earthquake
2020-11-22T01:35:02.172Z,381.759,-1.178.895,10.5,3.8,ml,"30 km SE of Mina, Nevada",earthquake
2020-11-22T01:20:36.559Z,272.423,535.003,10,4.3,mb,"70 km ESE of Mohr, Iran",earthquake
2020-11-22T01:16:44.457Z,442.935,-1.149.848,10,2.6,ml,"9 km NNW of Stanley, Idaho",earthquake
2020-11-22T01:15:45.701Z,442.871,-1.149.956,10,2.7,ml,"8 km NNW of Stanley, Idaho",earthquake
2020-11-22T00:54:56.856Z,-346.189,-730.706,19.65,6.1,mww,"99 km NW of Constitución, Chile",earthquake
2020-11-21T21:49:21.661Z,301.873,881.067,10,4.5,mb,"128 km NW of Rikaze, China",earthquake
2020-11-21T21:33:04.035Z,596.123,-1.534.106,119.8,2.6,ml,"43 km ESE of Pedro Bay, Alaska",earthquake
2020-11-21T21:25:50.732Z,3.4548,1.239.615,412.75,4.2,mb,"239 km NNW of Manado, Indonesia",earthquake
2020-11-21T20:15:03.908Z,221.136,796.052,10,4.3,mb,"6 km ENE of Seoni, India",earthquake
2020-11-21T18:31:10.868Z,-293.079,-720.222,26.69,4.4,mb,"97 km NW of Coquimbo, Chile",earthquake
2020-11-21T18:04:30.869Z,616.835,-1.505.119,46.1,2.7,ml,"15 km N of Susitna, Alaska",earthquake
2020-11-21T18:00:54.420Z,-473.424,1.655.372,10,4.8,mb,"218 km WSW of Riverton, New Zealand",earthquake
2020-11-21T17:44:58.501Z,535.706,-1.649.661,30.94,2.6,ml,"82 km SE of Akutan, Alaska",earthquake
2020-11-21T17:20:41.155Z,61.71,-1.480.211,22.9,3.6,ml,"22 km WSW of Glacier View, Alaska",earthquake
2020-11-21T17:09:48.708Z,618.371,-1.499.831,39.6,2.6,ml,"10 km NNE of Willow, Alaska",earthquake
2020-11-21T17:06:16.461Z,140.471,1.206.292,116.36,4.4,mb,"0 km NE of San Diego, Philippines",earthquake
2020-11-21T16:58:32.640Z,-43.289,1.020.658,10,4.9,mb,"62 km SSW of Bengkulu, Indonesia",earthquake
2020-11-21T16:26:45.540Z,192.401.666.666.667,-1.554.085,31.22,3.15,md,"8 km ENE of Pāhala, Hawaii",earthquake
2020-11-21T15:36:19.032Z,578.125,-1.517.842,3.5,2.7,ml,"37 km E of Kodiak, Alaska",earthquake
2020-11-21T15:34:52.199Z,362.861,708.034,117.55,4.3,mb,"64 km S of Jurm, Afghanistan",earthquake
2020-11-21T15:16:16.649Z,616.168,-1.464.303,21.5,3.3,ml,"45 km SSE of Nelchina, Alaska",earthquake
2020-11-21T14:45:40.030Z,451.254,1.471.715,136.53,4.3,mb,"56 km WSW of Kuril’sk, Russia",earthquake
2020-11-21T13:11:06.043Z,5.3373,1.255.169,179.73,4.7,mb,"9 km SE of Sarangani, Philippines",earthquake
2020-11-21T12:49:50.650Z,-31.952,-1.777.152,10,4.9,mb,Kermadec Islands region,earthquake
2020-11-21T12:49:37.040Z,37.631,-1.194.056.667,13.61,2.55,md,"20km SE of Yosemite Valley, CA",earthquake
2020-11-21T11:43:53.330Z,17.868,-668.801,14,2.7,md,"11 km SSE of Guánica, Puerto Rico",earthquake
2020-11-21T11:39:06.371Z,-48.512,1.533.914,48.08,4.4,mb,"136 km ESE of Kokopo, Papua New Guinea",earthquake
2020-11-21T11:16:04.310Z,179.475,-67.099,11,2.81,md,"6 km WSW of La Parguera, Puerto Rico",earthquake
2020-11-21T11:07:37.960Z,194.023.333.333.333,-155.267.166.666.667,0.2,2.61,ml,"5 km SW of Volcano, Hawaii",earthquake
2020-11-21T11:07:01.270Z,194.160.003.662.109,-155.259.826.660.156,-150.000.005.960.464,2.53,ml,"4 km SW of Volcano, Hawaii",earthquake
2020-11-21T10:23:54.260Z,179.193,-669.541,11,2.61,md,"7 km SW of Guánica, Puerto Rico",earthquake
2020-11-21T10:18:33.130Z,612.151,-1.488.893,25.9,2.7,ml,"27 km S of Knik River, Alaska",earthquake
2020-11-21T09:14:27.778Z,-62.808,1.332.318,10,4.8,mb,"89 km SE of Tual, Indonesia",earthquake
2020-11-21T09:09:07.270Z,179.291,-669.503,10,2.97,md,"6 km SW of Guánica, Puerto Rico",earthquake
2020-11-21T08:56:52.780Z,18.579,-669.138,92,3.3,md,"11 km NNE of Quebradillas, Puerto Rico",earthquake
2020-11-21T07:43:18.960Z,183.016,-672.661,83,2.86,md,"3 km SW of Stella, Puerto Rico",earthquake
2020-11-21T07:22:39.410Z,181.081,-67.722,40,3.26,md,"55 km WSW of Stella, Puerto Rico",earthquake
2020-11-21T07:19:39.279Z,535.427,-166.162,61.3,3.4,ml,"44 km SSE of Unalaska, Alaska",earthquake
2020-11-21T05:23:34.174Z,443.075,-1.150.497,11.78,2.8,ml,"13 km NW of Stanley, Idaho",earthquake
2020-11-21T05:12:23.152Z,381.603,-1.178.315,9,2.6,ml,"35 km SE of Mina, Nevada",earthquake
2020-11-21T05:01:19.194Z,381.745,-1.177.975,7,2.9,ml,"36 km SE of Mina, Nevada",earthquake
2020-11-21T04:49:33.520Z,24.973,950.072,10,4.5,mb,"92 km SSE of Phek, India",earthquake
2020-11-21T04:43:06.030Z,190.403,-677.346,68,3.2,md,"86 km NE of Punta Cana, Dominican Republic",earthquake
2020-11-21T04:27:41.053Z,-128.629,1.668.469,98.67,4.6,mb,"135 km NW of Sola, Vanuatu",earthquake
2020-11-21T03:47:48.489Z,-167.742,-1.734.012,85.89,4.7,mb,Tonga,earthquake
2020-11-21T03:16:37.565Z,516.689,-1.729.563,35,3.5,ml,"103 km SE of Atka, Alaska",earthquake
2020-11-21T02:58:46.150Z,182.481,-682.556,145,3.57,md,"40 km ESE of Boca de Yuma, Dominican Republic",earthquake
2020-11-21T02:27:32.369Z,-280.796,-1.118.083,10,4.8,mb,"256 km WSW of Hanga Roa, Chile",earthquake
2020-11-21T02:25:29.547Z,-7.417,1.276.868,10,4.7,mb,"164 km S of Sofifi, Indonesia",earthquake
2020-11-21T02:16:07.843Z,365.371,705.633,205.57,4.3,mb,"43 km SSW of Jurm, Afghanistan",earthquake
2020-11-21T02:14:43.375Z,-725,127.75,37.87,4.2,mb,"163 km S of Sofifi, Indonesia",earthquake
2020-11-21T02:11:47.943Z,-309.017,-715.046,53.94,5.6,mww,"44 km SW of Ovalle, Chile",earthquake
2020-11-21T00:51:43.704Z,443.317,-1.150.379,9.71,2.9,ml,"14 km NNW of Stanley, Idaho",earthquake
2020-11-20T23:58:21.884Z,10.4763,-691.338,10,4.7,mb,"43 km NW of Chivacoa, Venezuela",earthquake
2020-11-20T23:44:11.290Z,19.24,-155.405.666.666.667,30.85,2.76,md,"8 km ENE of Pāhala, Hawaii",earthquake
2020-11-20T23:38:32.220Z,601.668,-1.532.471,140.4,2.6,ml,Southern Alaska,earthquake
2020-11-20T23:35:08.130Z,339.965,-1.171.668.333,9.39,2.62,ml,"7km SSE of Redlands, CA",earthquake
2020-11-20T23:16:38.072Z,-214.247,1.690.163,10,5.4,mww,"118 km E of Tadine, New Caledonia",earthquake
2020-11-20T22:46:26.555Z,44.322,-1.150.212,10,2.9,ml,"13 km NNW of Stanley, Idaho",earthquake
2020-11-20T20:48:55.163Z,-75.697,-748.379,142.03,4.5,mb,"32 km SE of Contamana, Peru",earthquake
2020-11-20T20:40:17.273Z,443.384,-1.150.366,3.16,2.5,ml,"15 km NNW of Stanley, Idaho",earthquake
2020-11-20T20:28:01.107Z,443.477,-1.150.234,6.33,3.1,ml,"15 km NNW of Stanley, Idaho",earthquake
2020-11-20T19:50:37.710Z,387.888.336,-1.227.249.985,1.71,3.16,ml,"3km ENE of The Geysers, CA",earthquake
2020-11-20T18:14:31.170Z,18.322,-673.935,80,2.91,md,"15 km W of Rincón, Puerto Rico",earthquake
2020-11-20T18:01:26.716Z,402.834,1.423.366,56.53,4.9,mb,"74 km ESE of Hachinohe, Japan",earthquake
2020-11-20T17:07:08.217Z,-16.654,-1.737.517,164.61,4.6,mb,"77 km S of Hihifo, Tonga",earthquake
2020-11-20T17:06:42.850Z,179.266,-66.951,10,2.51,md,"6 km SW of Guánica, Puerto Rico",earthquake
2020-11-20T17:02:39.447Z,-181.763,-700.737,138.1,4.5,mwr,"26 km SE of Tacna, Peru",earthquake
2020-11-20T16:44:58.630Z,484.835,-1.232.365,21.53,3,ml,"6 km NE of Oak Bay, Canada",earthquake
2020-11-20T16:41:37.768Z,-27.391,1.288.029,10,5,mb,"67 km N of Amahai, Indonesia",earthquake
2020-11-20T16:24:07.436Z,635.471,-1.498.444,119.3,2.8,ml,"47 km WNW of Cantwell, Alaska",earthquake
2020-11-20T16:08:09.156Z,-27.556,1.288.173,10,4.3,mb,"65 km N of Amahai, Indonesia",earthquake
2020-11-20T16:05:04.682Z,-27.143,1.289.376,10,4.5,mb,"69 km N of Amahai, Indonesia",earthquake
2020-11-20T12:43:15.028Z,-394.167,1.749.597,139.11,4.8,mb,"55 km NE of Patea, New Zealand",earthquake
2020-11-20T10:10:05.966Z,381.746,-1.178.015,7.4,4,ml,"36 km SE of Mina, Nevada",earthquake
2020-11-20T09:37:38.090Z,56.113,-1.605.163,150.3,2.8,ml,"44 km ENE of Nelson Lagoon, Alaska",earthquake
2020-11-20T08:43:54.310Z,16.247,-94.345,85.51,4.7,mb,"16 km WSW of Chahuites, Mexico",earthquake
2020-11-20T06:55:29.580Z,334.173.333,-1.163.825,14.04,2.52,ml,"18km N of Borrego Springs, CA",earthquake
2020-11-20T05:22:38.323Z,381.511,-1.179.602,10.7,2.6,ml,"29 km SSE of Mina, Nevada",earthquake
2020-11-20T05:19:44.950Z,193.308,-670.635,16,3.42,md,"91 km N of Isabela, Puerto Rico",earthquake
2020-11-20T05:12:31.828Z,-219.418,-685.083,130.93,4.4,mb,"71 km NE of Calama, Chile",earthquake
2020-11-20T04:52:00.255Z,-74.892,128.649,160.9,4,mb,"214 km ENE of Lospalos, Timor Leste",earthquake
2020-11-20T04:42:13.600Z,191.741,-664.235,25,2.85,md,"78 km N of Brenas, Puerto Rico",earthquake
2020-11-20T03:19:15.545Z,-539.263,1.405.994,10,5.5,mww,west of Macquarie Island,earthquake
2020-11-20T03:03:05.421Z,-21.945,-793.589,118.22,4.1,mb,"8 km ENE of Coronel Marcelino Maridueña, Ecuador",earthquake
2020-11-20T02:48:42.110Z,38.882,-1.236.289.978,8.17,2.65,md,"7km ESE of Point Arena, CA",earthquake
2020-11-20T02:31:43.190Z,17.943,-668.061,9,2.51,md,"5 km SSE of Indios, Puerto Rico",earthquake
2020-11-20T02:07:44.605Z,323.388,1.418.387,14.59,4.6,mb,"Izu Islands, Japan region",earthquake
2020-11-20T01:20:52.870Z,40.590.332,-1.240.070.038,22.15,2.85,md,"9km ENE of Hydesville, CA",earthquake
2020-11-20T01:03:50.601Z,6.8577,-730.869,144.18,4.1,mb,"13 km N of Jordán, Colombia",earthquake
2020-11-20T00:57:00.415Z,6.8661,-730.722,146,4.7,mb,"13 km S of Piedecuesta, Colombia",earthquake
2020-11-20T00:11:09.987Z,-149.984,-713.498,151.22,4.8,mb,"23 km SSE of Yauri, Peru",earthquake
2020-11-19T21:53:12.250Z,192.423.333.333.333,-155.408,31.58,2.59,md,"8 km ENE of Pāhala, Hawaii",earthquake
2020-11-19T21:01:48.100Z,465.708.333.333.333,-122.737.666.666.667,22.43,2.87,ml,"1 km WSW of Onalaska, Washington",earthquake
2020-11-19T18:22:23.790Z,35.081,-1.188.268.333,2.71,03.06,ml,"14km S of Arvin, CA",earthquake
2020-11-19T18:10:57.336Z,-14.843,996.307,53.98,4.7,mb,"99 km SW of Padang, Indonesia",earthquake
2020-11-19T17:21:09.675Z,438.986,1.419.748,205.03,4.2,mb,"Hokkaido, Japan region",earthquake
2020-11-19T16:17:36.310Z,179.583,-670.548,10,2.99,md,"2 km SSW of La Parguera, Puerto Rico",earthquake
2020-11-19T15:49:16.775Z,-208.692,-673.827,195.62,4.4,mb,"73 km SW of Uyuni, Bolivia",earthquake
2020-11-19T15:46:49.230Z,37.638,-118.931,5.79,2.93,md,"4km E of Mammoth Lakes, CA",earthquake
2020-11-19T15:45:38.733Z,532.861,-1.650.655,37.57,3.1,ml,"105 km SSE of Akutan, Alaska",earthquake
2020-11-19T14:50:40.785Z,-233.986,-1.797.895,540.05,4.9,mb,south of the Fiji Islands,earthquake
2020-11-19T14:44:32.680Z,376.375.008,-1.189.284.973,06.03,2.56,md,"4km E of Mammoth Lakes, CA",earthquake
2020-11-19T13:05:23.334Z,150.299,-936.804,35.93,4.4,mb,"72 km SW of El Palmarcito, Mexico",earthquake
2020-11-19T12:58:14.922Z,510.084,1.790.896,31,3.6,ml,"Rat Islands, Aleutian Islands, Alaska",earthquake
2020-11-19T12:45:26.705Z,543.852,-1.594.976,20.47,3.9,ml,"123 km SSE of Sand Point, Alaska",earthquake
2020-11-19T12:20:46.580Z,189.936,-664.628,53,2.91,md,"58 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake
2020-11-19T12:14:11.137Z,7.8684,1.231.766,10,4.5,mb,"2 km NE of Rancheria Payau, Philippines",earthquake
2020-11-19T10:35:14.149Z,381.593,-117.868,5.2,2.5,ml,"33 km SE of Mina, Nevada",earthquake
2020-11-19T10:00:09.858Z,-188.061,1.674.644,10,4.2,mb,"148 km SW of Port-Vila, Vanuatu",earthquake
2020-11-19T09:27:46.480Z,190.843,-664.581,22,3.35,md,"68 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake
2020-11-19T09:27:11.789Z,516.131,161.972,10,4.3,mb,"2 km NE of Grębocice, Poland",earthquake
2020-11-19T08:31:25.868Z,364.705,698.559,161.71,4.4,mb,"11 km S of Farkhār, Afghanistan",earthquake
2020-11-19T08:25:20.036Z,614.674,-1.405.071,10,2.7,ml,"128 km E of McCarthy, Alaska",earthquake
2020-11-19T08:22:12.694Z,44.32,-1.150.595,10.25,2.5,ml,"14 km NW of Stanley, Idaho",earthquake
2020-11-19T04:10:29.148Z,38.141,-1.180.031,10.5,2.6,ml,"29 km SSE of Mina, Nevada",earthquake
2020-11-19T02:51:20.890Z,188.036,-652.486,8,03.08,md,"55 km N of Culebra, Puerto Rico",earthquake
2020-11-19T01:39:10.337Z,-274.995,-1.757.606,10,4.9,mb,Kermadec Islands region,earthquake
2020-11-19T00:40:08.094Z,316.873,-1.043.087,12.19,3.1,ml,"54 km S of Whites City, New Mexico",earthquake
2020-11-18T23:21:31.410Z,317.335,1.420.006,10,4.4,mb,"Izu Islands, Japan region",earthquake
2020-11-18T23:10:59.110Z,37.245,215.959,18.99,4.3,mwr,"6 km W of Kyparissía, Greece",earthquake
2020-11-18T22:19:45.175Z,529.646,-132.802,10,3.9,mb,"222 km SW of Prince Rupert, Canada",earthquake
2020-11-18T22:04:27.830Z,191.791.666.666.667,-156.314.333.333.333,43.04,2.51,md,"54 km SW of Captain Cook, Hawaii",earthquake
2020-11-18T22:04:01.670Z,187.568,-672.881,9,3.33,md,"35 km NW of San Antonio, Puerto Rico",earthquake
2020-11-18T21:42:49.450Z,179.685,-670.098,6,2.77,md,"3 km E of La Parguera, Puerto Rico",earthquake
2020-11-18T21:42:16.894Z,381.661,-1.178.499,8.3,2.6,ml,"33 km SE of Mina, Nevada",earthquake
2020-11-18T19:48:29.030Z,179.583,-669.738,8,2.93,md,"6 km WSW of Fuig, Puerto Rico",earthquake
2020-11-18T19:07:52.481Z,-60.388,1.225.792,10,4.5,mb,"122 km S of Katabu, Indonesia",earthquake
2020-11-18T19:05:13.109Z,176.135,1.458.505,172.02,4.9,mb,"265 km N of Saipan, Northern Mariana Islands",earthquake
2020-11-18T18:43:49.344Z,-60.347,1.477.911,53.92,4.4,mb,"58 km N of Finschhafen, Papua New Guinea",earthquake
2020-11-18T18:37:33.622Z,-59.803,1.538.212,10,4.1,mb,"187 km WNW of Panguna, Papua New Guinea",earthquake
2020-11-18T18:21:30.230Z,195.095,-155.659.166.666.667,2.19,03.02,ml,"22 km ENE of Honaunau-Napoopoo, Hawaii",earthquake
2020-11-18T18:09:07.870Z,18.492,-674.446,18,2.96,md,"26 km NW of Rincón, Puerto Rico",earthquake
2020-11-18T17:32:49.471Z,-56.734,151.499,48.87,4.4,mb,"151 km E of Kimbe, Papua New Guinea",earthquake
2020-11-18T16:57:30.110Z,179.566,-665.126,12,2.68,md,"4 km SSW of Potala Pastillo, Puerto Rico",earthquake
2020-11-18T16:09:31.190Z,179.278,-665.151,10,03.08,md,"7 km SSW of Potala Pastillo, Puerto Rico",earthquake
2020-11-18T14:54:01.205Z,510.402,-1.785.278,35,3.6,mb,"161 km SW of Adak, Alaska",earthquake
2020-11-18T12:53:43.147Z,381.781,-1.178.315,6.8,2.7,ml,"33 km SE of Mina, Nevada",earthquake
2020-11-18T12:20:40.360Z,188.328,-653.375,25,3.29,md,"58 km N of Culebra, Puerto Rico",earthquake
2020-11-18T12:09:07.490Z,330.736.667,-1.155.956.667,11.2,2.95,ml,"5km NNE of Westmorland, CA",earthquake
2020-11-18T11:59:09.090Z,18.958,-651.036,31,4.54,ml,"70 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2020-11-18T11:37:54.726Z,-47.392,1.028.371,82.45,4.7,mb,"91 km SSW of Pagar Alam, Indonesia",earthquake
2020-11-18T11:18:37.160Z,19.174,-155.472,32.05,2.96,ml,"3 km SSE of Pāhala, Hawaii",earthquake
2020-11-18T10:45:00.049Z,621.302,-1.520.526,105.2,3,ml,"37 km WNW of Skwentna, Alaska",earthquake
2020-11-18T10:33:47.256Z,363.229,698.157,130.02,4.7,mb,"27 km S of Farkhār, Afghanistan",earthquake
2020-11-18T10:23:31.501Z,-61.917,1.482.008,97.06,4.6,mb,"56 km NE of Finschhafen, Papua New Guinea",earthquake
2020-11-18T10:06:43.520Z,181.405,-674.015,9,3.29,md,"23 km WNW of Puerto Real, Puerto Rico",earthquake
2020-11-18T09:35:03.860Z,180.173,-667.441,14,2.56,md,"2 km E of Magas Arriba, Puerto Rico",earthquake
2020-11-18T08:40:02.460Z,181.651,-673.923,15,2.84,md,"23 km SW of Stella, Puerto Rico",earthquake
2020-11-18T08:26:46.553Z,-203.162,-690.812,101.94,4.8,mb,"112 km E of Iquique, Chile",earthquake
2020-11-18T08:11:18.410Z,181.481,-67.402,11,3.63,md,"24 km WNW of Puerto Real, Puerto Rico",earthquake
2020-11-18T08:06:19.540Z,631.097,-1.482.452,48.2,2.8,ml,"47 km SE of Cantwell, Alaska",earthquake
2020-11-18T06:08:13.108Z,531.906,-1.614.003,15.73,3.5,ml,"216 km SSE of King Cove, Alaska",earthquake
2020-11-18T06:03:04.795Z,-290.961,-684.846,101.29,4.4,mwr,"46 km SW of Vinchina, Argentina",earthquake
2020-11-18T05:51:09.534Z,543.751,-1.597.546,28.9,3.5,mb,"117 km SSE of Sand Point, Alaska",earthquake
2020-11-18T05:31:39.332Z,-298.686,-711.283,33.88,3.9,ml,"12 km ENE of La Serena, Chile",earthquake
2020-11-18T05:04:03.931Z,426.479,-1.080.898,10,2.6,ml,"27 km NW of Jeffrey City, Wyoming",earthquake
2020-11-18T04:41:55.542Z,-18.139,1.004.224,13.66,5.2,mww,"95 km S of Padang, Indonesia",earthquake
2020-11-18T04:02:22.931Z,410.032,-1.163.082,3.1,2.7,ml,"36 km NNW of Carlin, Nevada",earthquake
2020-11-18T03:12:55.823Z,216.164,-1.076.987,10,4,mb,"220 km W of Santa Cruz, Mexico",earthquake
2020-11-18T02:38:09.312Z,442.113,848.869,10,4.3,mb,"92 km W of Shihezi, China",earthquake
2020-11-18T02:24:29.170Z,652.968,-1.652.214,0,2.5,ml,"53 km E of Teller, Alaska",earthquake
2020-11-18T01:55:44.253Z,541.564,-1.597.206,21.76,2.8,ml,"140 km SSE of Sand Point, Alaska",earthquake
2020-11-18T01:00:45.389Z,321.575,1.379.061,366.23,4.7,mb,"250 km SE of Shingū, Japan",earthquake
2020-11-18T00:20:59.758Z,38.343,-1.057.181,5,2.5,ml,"4 km SW of Cotopaxi, Colorado",earthquake
2020-11-18T00:06:50.980Z,189.855,-669.886,38,2.7,md,"53 km N of Isabela, Puerto Rico",earthquake
2020-11-17T23:55:54.510Z,154.563,-945.092,35,4.3,mb,"86 km S of San Francisco del Mar Viejo, Mexico",earthquake
2020-11-17T23:17:49.380Z,179.806,-66.84,18,2.58,md,"2 km SW of Indios, Puerto Rico",earthquake
2020-11-17T23:05:49.164Z,405.284,343.104,10,4.5,mb,Central Turkey,earthquake
2020-11-17T23:04:42.428Z,-95.432,1.190.128,61.57,4.4,mb,"117 km SSW of Komodo, Indonesia",earthquake
2020-11-17T22:41:11.095Z,275.802,593.818,62.61,4.3,mb,"114 km NNW of Fannūj, Iran",earthquake
2020-11-17T22:22:07.638Z,-149.364,167.773,10,5.1,mb,"76 km E of Port-Olry, Vanuatu",earthquake
2020-11-17T22:09:36.269Z,287.753,1.287.282,136.99,4.5,mb,"86 km WNW of Naze, Japan",earthquake
2020-11-17T20:50:55.156Z,635.669,-1.262.959,08.08,4.4,mb,"192 km S of Norman Wells, Canada",earthquake
2020-11-17T18:32:20.946Z,-244.326,-1.161.194,10,4.9,mb,southern East Pacific Rise,earthquake
2020-11-17T17:32:32.690Z,348.618.333,-1.163.401.667,5.26,3.51,mw,"23km NW of Ludlow, CA",earthquake
2020-11-17T16:26:39.570Z,317.268.333,-1.160.533.333,10.64,2.6,ml,"49km E of Maneadero, B.C., MX",earthquake
2020-11-17T16:22:57.820Z,38.798,-1.228.066.667,2.3,2.79,md,"5km WNW of The Geysers, CA",earthquake
2020-11-17T16:17:08.950Z,-24.261,-671.163,138.75,4.3,mb,"81 km W of San Antonio de los Cobres, Argentina",earthquake
2020-11-17T16:07:54.401Z,-165.497,-1.730.955,22.4,4.6,mb,"99 km SE of Hihifo, Tonga",earthquake
2020-11-17T15:46:21.591Z,-361.872,-715.746,99.88,4.2,mb,"23 km ESE of Parral, Chile",earthquake
2020-11-17T14:41:24.669Z,-409.103,-167.019,10,4.6,mb,southern Mid-Atlantic Ridge,earthquake
2020-11-17T14:27:11.243Z,3.1781,1.226.741,532.15,4.5,mb,"295 km N of Gorontalo, Indonesia",earthquake
2020-11-17T13:57:49.015Z,-199.688,-1.760.314,10,4.7,mb,"155 km NNW of Nuku‘alofa, Tonga",earthquake
2020-11-17T13:17:54.859Z,-194.791,-1.766.222,10,4.6,mb,"236 km NW of Nuku‘alofa, Tonga",earthquake
2020-11-17T13:16:42.485Z,-42.076,1.528.851,47.63,4.6,mb,"70 km ENE of Kokopo, Papua New Guinea",earthquake
2020-11-17T13:12:51.222Z,7.7441,939.314,51.17,4.7,mb,"255 km NW of Sabang, Indonesia",earthquake
2020-11-17T13:09:52.960Z,224.045,-1.077.552,10,4.1,mb,"166 km SW of Mazatlán, Mexico",earthquake
2020-11-17T13:06:01.445Z,-280.796,-1.765.727,10,4.8,mb,Kermadec Islands region,earthquake
2020-11-17T12:13:04.550Z,2.8676,957.975,26.44,4.3,mb,"77 km WNW of Sinabang, Indonesia",earthquake
2020-11-17T11:55:18.145Z,254.195,1.424.577,40.98,4.6,mb,"Volcano Islands, Japan region",earthquake
2020-11-17T11:36:31.220Z,181.566,-683.695,92,3.55,md,"35 km SE of Boca de Yuma, Dominican Republic",earthquake
2020-11-17T11:16:11.703Z,643.591,-1.497.909,14.1,3,ml,"29 km W of Anderson, Alaska",earthquake
2020-11-17T09:02:11.280Z,192.141,-663.728,48,3.34,md,"82 km N of Brenas, Puerto Rico",earthquake
2020-11-17T07:57:16.651Z,578.316,-156.606,139.8,2.8,ml,"59 km NE of Ugashik, Alaska",earthquake
2020-11-17T07:46:57.366Z,525.839,-1.673.161,42.66,4.3,mb,"111 km ESE of Nikolski, Alaska",earthquake
2020-11-17T07:43:44.350Z,407.506.667,-125.803,27.42,2.94,md,"131km W of Ferndale, CA",earthquake
